시도,군구,신주소,구주소,이름,용량
서울특별시,종로구, 서울특별시 종로구 대학로 57 (연건동  홍익대학교대학로캠퍼스), 서울특별시 종로구 연건동 128번지 8호,홍익대대학로캠퍼스(정부지원),96t(톤)
서울특별시,종로구, 서울특별시 종로구 율곡로3길 49 (송현동  덕성여자중학교), 서울특별시 종로구 송현동 34번지,덕성여중(정부지원),120t(톤)
서울특별시,종로구, 서울특별시 종로구 북촌로 134-3 (삼청동  삼청공원), 서울특별시 종로구 삼청동 2번지 2호,삼청공원1(정부지원),418t(톤)
서울특별시,종로구, 서울특별시 종로구 삼일대로 428 (낙원동  낙원상가), 서울특별시 종로구 낙원동 288번지,대일건설(민간시설),67t(톤)
서울특별시,종로구, 서울특별시 종로구 세종대로 149 (세종로  광화문빌딩), 서울특별시 종로구 세종로 211번지,동화투자개발(민간시설),92t(톤)
서울특별시,종로구, 서울특별시 종로구 자하문로28가길 9 (청운동  경복고등학교), 서울특별시 종로구 청운동 89번지 9호,경복고교(공공시설),140t(톤)
서울특별시,종로구, 서울특별시 종로구 돈화문로 13 (관수동  서울극장), 서울특별시 종로구 관수동 59번지 7호,서울극장(민간시설),70t(톤)
서울특별시,종로구, 서울특별시 종로구 사직로 161 (세종로  경복궁), 서울특별시 종로구 세종로 1번지 1호,경복궁관리소(공공시설),484t(톤)
서울특별시,종로구, 서울특별시 종로구 북촌로 15 (재동  헌법재판소), 서울특별시 종로구 재동 83번지,헌법재판소(공공시설),84t(톤)
서울특별시,종로구, 서울특별시 종로구 북촌로 112 (삼청동  감사원), 서울특별시 종로구 삼청동 25번지 23호,감사원(공공시설),50t(톤)
서울특별시,종로구, 서울특별시 종로구 진흥로 446 (구기동), 서울특별시 종로구 구기동 105번지 1호,대한제당(민간시설),90t(톤)
서울특별시,종로구, 서울특별시 종로구 진흥로 432 (구기동  요진오피스텔쉐레이), 서울특별시 종로구 구기동 110번지 1호,쉐레이암반수사우나(민간시설),66t(톤)
서울특별시,종로구, 서울특별시 종로구 새문안로5길 37 (도렴동), 서울특별시 종로구 도렴동 60번지,도렴빌딩(민간시설),93t(톤)
서울특별시,종로구, 서울특별시 종로구 삼봉로 81 (수송동  두산위브파빌리온), 서울특별시 종로구 수송동 58번지,두산위브 파빌리온(민간시설),80t(톤)
서울특별시,종로구, 서울특별시 종로구 종로1길 42 (수송동  이마빌딩), 서울특별시 종로구 수송동 146번지 1호,이마빌딩(민간시설),295t(톤)
서울특별시,종로구, 서울특별시 종로구 종로 1 (종로1가  교보생명빌딩), 서울특별시 종로구 종로1가 1번지,교보생명빌딩(민간시설),180t(톤)
서울특별시,종로구, 서울특별시 종로구 평창문화로 87  창진파크팰리스 (평창동), 서울특별시 종로구 평창동 153번지 3호 창진파크팰리스,창진파크팰리스(민간시설),86t(톤)
서울특별시,종로구, 서울특별시 종로구 지봉로 지하 24 (숭인동  6호선 동묘앞역), 서울특별시 종로구 숭인동 316번지 3호,6호선 동묘앞역(자치단체),1709t(톤)
서울특별시,종로구, 서울특별시 종로구 돈화문로11길 지하 26 (돈의동  5호선 종로3가역), 서울특별시 종로구 돈의동 39번지 1호,5호선 종로3가역(자치단체),618t(톤)
서울특별시,종로구, 서울특별시 서대문구 통일로 지하 247 (현저동  독립문역), 서울특별시 서대문구 현저동 101번지,3호선 독립문역(자치단체),279t(톤)
서울특별시,중구, 서울특별시 중구 마른내로9길 10 (인현동2가  덕수중학교), 서울특별시 중구 인현동2가 3번지,덕수중학교(자치단체),50t(톤)
서울특별시,중구, 서울특별시 중구 다산로 32 (신당동  남산타운), 서울특별시 중구 신당동 844번지,쌈지마당공원(자치단체),50t(톤)
서울특별시,중구, 서울특별시 중구 을지로 30 (소공동  롯데호텔), 서울특별시 중구 소공동 1번지,호텔롯데(민간시설),1728t(톤)
서울특별시,중구, 서울특별시 중구 세종대로 124 (태평로1가  프레스센터), 서울특별시 중구 태평로1가 25번지,서울신문사(민간시설),76t(톤)
서울특별시,중구, 서울특별시 중구 청계천로 86 (장교동  한화빌딩), 서울특별시 중구 장교동 1번지,한화빌딩(민간시설),54t(톤)
서울특별시,중구, 서울특별시 중구 을지로 51 (을지로2가  내외빌딩), 서울특별시 중구 을지로2가 6번지,내외빌딩(민간시설),96t(톤)
서울특별시,중구, 서울특별시 중구 후암로 110 (남대문로5가  서울시티타워빌딩), 서울특별시 중구 남대문로5가 581번지,(주)서울시티타워(민간시설),86t(톤)
서울특별시,중구, 서울특별시 중구 무교로 20 (무교동  어린이재단), 서울특별시 중구 무교동 95번지,한국복지재단(민간시설),79t(톤)
서울특별시,중구, 서울특별시 중구 소공로 109 (소공동  소공동한화빌딩), 서울특별시 중구 소공동 110번지,한화소공빌딩(민간시설),338t(톤)
서울특별시,중구, 서울특별시 중구 칠패로 37 (봉래동1가  HSBC빌딩), 서울특별시 중구 봉래동1가 25번지,HSBC빌딩(구 삼성생명)(민간시설),840t(톤)
서울특별시,중구, 서울특별시 중구 서소문로11길 35 (정동  제이피모간 프라자), 서울특별시 중구 정동 34번지 35호,JP모건체이스은행(민간시설),80t(톤)
서울특별시,중구, 서울특별시 중구 퇴계로12길 78 (회현동1가  중구회현체육센터), 서울특별시 중구 회현동1가 115번지,회현동체육시설(정부지원),107t(톤)
서울특별시,중구, 서울특별시 중구 소공로 35 (회현동1가  남산롯데캐슬), 서울특별시 중구 회현동1가 208번지,남산롯데캐슬아이리스(민간시설),60t(톤)
